Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,540.450012,543.950012,536.799988,538.650024,523.581360,823482
2021-04-05,538.200012,541.099976,534.099976,537.000000,521.977478,1359678
2021-04-06,537.000000,547.750000,534.349976,546.950012,531.649231,1825976
2021-04-07,548.000000,557.500000,547.349976,553.200012,537.724365,3109165
2021-04-08,553.450012,561.700012,548.250000,559.150024,543.507935,2009731
2021-04-09,560.000000,566.349976,557.200012,560.500000,544.820190,2203711
2021-04-12,556.000000,561.450012,549.500000,554.750000,539.230957,2061407
2021-04-13,555.200012,565.700012,554.299988,560.250000,544.577148,3181848
2021-04-15,565.000000,577.000000,560.750000,572.049988,556.046997,5336354
2021-04-16,581.900024,581.900024,571.000000,575.000000,558.914429,3675431
2021-04-19,565.000000,574.000000,562.650024,569.200012,553.276733,1876054
2021-04-20,574.000000,575.950012,565.799988,569.000000,553.082275,2321346
2021-04-22,572.650024,573.250000,564.049988,566.150024,550.312073,2545878
2021-04-23,566.150024,566.950012,556.099976,559.950012,544.285522,2408395
2021-04-26,560.900024,562.599976,539.549988,541.299988,526.157166,3121274
2021-04-27,544.250000,544.250000,534.650024,538.599976,523.532715,2463374
2021-04-28,542.000000,545.700012,536.150024,541.250000,526.108521,2614846
2021-04-29,544.450012,547.049988,540.200012,541.900024,526.740540,1796174
2021-04-30,539.799988,545.250000,535.700012,538.049988,522.998169,1960727
2021-05-03,538.750000,548.400024,538.599976,542.400024,527.226501,1725231
2021-05-04,545.000000,545.700012,535.349976,537.549988,522.512085,1772835
2021-05-05,538.799988,542.450012,537.049988,540.950012,525.817078,1136917
2021-05-06,542.849976,547.349976,539.000000,545.250000,529.996704,2142388
2021-05-07,548.000000,548.000000,532.299988,534.599976,519.644653,8776663
2021-05-10,535.000000,535.750000,519.299988,522.750000,508.126099,6409447
2021-05-11,522.750000,526.799988,520.400024,525.450012,510.750549,2458535
2021-05-12,527.000000,532.599976,525.000000,529.200012,514.395752,3997812
2021-05-14,532.000000,538.450012,529.650024,535.000000,520.033386,3274059
2021-05-17,537.099976,539.250000,532.200012,534.349976,519.401611,2002740
2021-05-18,537.000000,539.000000,529.450012,531.099976,516.242432,2056620
2021-05-19,530.000000,539.150024,528.049988,538.049988,522.998169,2402429
2021-05-20,537.000000,541.000000,533.599976,535.799988,520.811096,2586717
2021-05-21,538.000000,540.000000,535.450012,536.750000,521.734558,1582534
2021-05-24,538.000000,538.150024,532.000000,533.250000,518.332397,2142262
2021-05-25,535.400024,536.750000,529.299988,530.549988,515.708008,2341520
2021-05-26,532.950012,532.950012,528.750000,532.200012,517.311768,1533553
2021-05-27,533.000000,533.799988,524.400024,527.200012,512.451721,7104429
2021-05-28,530.000000,532.900024,528.049988,530.400024,515.562195,1322812
2021-05-31,532.299988,544.299988,529.549988,540.450012,525.331116,2775615
2021-06-01,544.700012,545.000000,535.000000,537.049988,522.026123,1855968
2021-06-02,538.349976,540.250000,529.750000,532.250000,517.360413,4073182
2021-06-03,534.799988,541.799988,534.000000,540.799988,525.671204,2070792
2021-06-04,542.000000,545.000000,539.349976,544.049988,528.830261,1964169
2021-06-07,545.150024,550.000000,542.400024,548.500000,533.155823,2061081
2021-06-08,551.849976,560.750000,551.849976,556.349976,540.786255,3966396
2021-06-09,559.000000,561.500000,554.250000,558.599976,542.973206,2452001
2021-06-10,560.500000,563.849976,556.049988,559.950012,544.285522,2602822
2021-06-11,560.750000,566.200012,559.700012,565.200012,549.388611,1036563
2021-06-14,564.950012,571.400024,560.250000,568.450012,552.547729,1628291
2021-06-15,569.049988,576.000000,569.049988,574.799988,558.720093,1774944
2021-06-16,576.000000,582.700012,575.299988,580.599976,564.357788,2232810
2021-06-17,577.700012,581.000000,570.200012,573.200012,557.164734,1512920
2021-06-18,574.750000,581.900024,571.599976,577.099976,560.955688,3901362
2021-06-21,576.000000,579.650024,570.000000,571.750000,555.755371,2238942
2021-06-22,574.250000,578.000000,565.049988,566.650024,550.798035,2681016
2021-06-23,567.200012,570.000000,560.250000,566.450012,550.603638,1172122
2021-06-24,566.450012,576.750000,561.349976,575.200012,559.108887,1362412
2021-06-25,575.250000,575.500000,562.950012,564.450012,548.659607,1190963
2021-06-28,568.450012,568.599976,564.299988,567.049988,551.186890,794690
2021-06-29,565.099976,570.500000,561.549988,567.349976,551.478394,1761569
2021-06-30,568.549988,573.500000,563.500000,568.750000,552.839294,1346860
2021-07-01,572.400024,591.450012,569.900024,589.750000,573.251892,5398923
2021-07-02,591.549988,592.000000,583.849976,590.450012,573.932251,2477693
2021-07-05,593.400024,593.650024,586.500000,587.700012,571.259094,1196198
2021-07-06,588.650024,595.450012,588.000000,591.799988,575.244446,1428646
2021-07-07,590.799988,596.000000,588.099976,594.400024,577.771729,1255033
2021-07-08,594.200012,599.000000,591.000000,596.099976,579.424194,1845925
2021-07-09,596.000000,605.000000,592.349976,595.599976,578.938171,2686530
2021-07-12,597.000000,600.150024,591.700012,593.150024,576.556702,1038327
2021-07-13,594.200012,595.349976,585.599976,589.150024,572.668579,934799
